Наименование работ	Ед.изм.	Кол-во	Цена за ед. без НДС	Сумма без НДС
Итого за работы:				108 000,00 ₽
ИТОГО по Разделу:				2 192 441,00 ₽
Монтаж кровли в осях: 17-21/И				
Подготовительные работы.				
Работы:				
Подготовка поверхности (очистка поверхности)	м2	153,00	50,00 ₽	7 650,00 ₽
Итого за работы:				7 650,00 ₽
Устройство наплавляемой пароизоляции - Изоспан В.				
Работы:				
Монтаж пароизоляции (плоскость + заведение на парапет)	м2	161,40	231,00 ₽	37 283,40 ₽
Итого за работы:				37 283,40 ₽
Устройство утеплителя из минераловатных плит - 150 мм.				
Работы:				
Устройство утеплителя в 2 слоя с перехлестом, толщиной 150мм.	м2	153,00	320,00 ₽	48 960,00 ₽
Итого за работы:				48 960,00 ₽
Устройство сборной стяжки в 2 слоя ЦСП в нахлест - 25 мм.				
Работы:				
Устройство сборной стяжки в 2 слоя ЦСП в нахлест - 25 мм	м2	153,00	525,00 ₽	80 325,00 ₽
Итого за работы:				80 325,00 ₽
Устройство переходного бортика.				
Работы:				
Устройство бортика (галтель)	м.п	18,00	250,00 ₽	4 500,00 ₽
Итого за работы:				4 500,00 ₽
Устройство гидроизоляционного слоя кровли из битумосодержащего рулонного материала.				
Работы:				
Праймирование основания	м2	153,00	50,00 ₽	7 650,00 ₽
Монтаж гидроизоляционного покрытия из рулонного материала Унифлекс (1ый слой)	м2	153,00	280,00 ₽	42 840,00 ₽
Монтаж гидроизоляционного покрытия из рулонного материала Техноэласт (2ой слой)	м2	153,00	280,00 ₽	42 840,00 ₽
Итого за работы:				93 330,00 ₽
Устройство примыкания гидроизоляции к стене высотой до 500 мм из битумосодержащего рулонного материала в два слоя.				
Работы:				
Устройство усиления галтели, внутренних и внешних углов	м/п	18,00	150,00	2 700,00 ₽
Монтаж гидроизоляционного покрытия на парапеты (и вент. шахты) до 500 мм и карнизы из полимеро-битумного наплавляемого материала в два слоя 	м/п	56,00	700,00 ₽	39 200,00 ₽
Монтаж краевой кровельной планки	м/п	18,00	150,00 ₽	2 700,00 ₽
Итого за работы:				44 600,00 ₽
Устройство кровельных аэраторов.				
Работы:				
Монтаж кровельных аэраторов	шт	2,00	2 500,00 ₽	5 000,00 ₽
Итого за работы:				5 000,00 ₽
Устройство водоприемных воронок.				
Работы:				
Монтаж внешнего водоотведения	м/п	28,00	400,00 ₽	11 200,00 ₽
Итого за работы:				11 200,00 ₽
ИТОГО по Разделу:				332 848,40 ₽
ИТОГО по Разделам монтажные работы кровля из БРМ				9 098 205,35 ₽
Организационные расходы (доставка + накладные + подъемы и механизмы):				900 000,00 ₽
Утилизация строительного мусора:				200 000,00 ₽
Итого общая сумма по всем разделам (Без НДС-20%):				10 198 205,35 ₽



"Данные крыши: Суммарная площадь кровель = 1 555 м2 (42.15×36.9 м),
Примыкания к парапету = 158.1 пог.м.,
Примыкания к тумбам = 17 шт. (размеры 1.1×1.1×0.6 м),
Примыкание к фахверковым стойкам = 26 шт. (6 шт. - 1.3×0.8 м; 20 шт. - 0.6×0.8 м). Водоотведение: внутреннее = 9 шт., парапетное = 4 шт."				
				
Наименование работ	Ед.изм.	Кол-во	Цена за ед	Сумма
Демонтажные и подготовительные работы				
Работы:				
Демонтаж ПВХ-мембраны (рядовая кровля + примыкания)	м2	1 742,17	344,40 ₽	600 003,35 ₽
Демонтаж теплоизоляционного слоя (минераловатный утеплитель + уклонобразующий слой)	м2	1 534,43	488,78 ₽	749 998,70 ₽
Демонтаж воронок водоотведения	шт	4,00	2 500,00 ₽	10 000,00 ₽
Демонтаж парапетных крышек	м/п	158,10	250,00 ₽	39 525,00 ₽
Итого за работы:				1 399 527,04 ₽
ИТОГО по Разделу:				1 399 527,04 ₽
Устройство L-образного профиля в местах парапета и профилей усиления в ендове и на коньках 				
Работы:				
Устройство L-образного профиля и профилей усиления	м/п	158,10	220,00 ₽	34 782,00 ₽
Итого за работы:				34 782,00 ₽
Материалы:				
Изделие (L-образный профиль, коньковый усилитель) из оц. стали толщиной 0,5 мм	м/п	200,00	630,00 ₽	126 000,00 ₽
Дюбель-гвоздь 6*40 мм	шт	2 000,00	2,00 ₽	4 000,00 ₽
Итого за материалы:				130 000,00 ₽
ИТОГО по Разделу:				164 782,00 ₽
Устройство пароизоляции				
Работы:				
Устройство пароизоляции из пленки	м2	1 566,05	50,00 ₽	78 302,50 ₽
Итого за работы:				78 302,50 ₽
Материалы:				
Пленка пароизоляционная ТехноНИКОЛЬ	м2	1 800,96	40,00 ₽	72 038,30 ₽
Скотч двусторонний, 25м	шт	21,00	350,00 ₽	7 350,00 ₽
Итого за материалы:				79 388,30 ₽
ИТОГО по Разделу:				157 690,80 ₽
Устройство контруклона из теплоизоляционных плит XPS Carbon Slope 4,2%				
Работы:				
Устройство контруклона из теплоизоляционных плит XPS Carbon Slope 4,2%	м2	99,00	350,00 ₽	34 650,00 ₽
Итого за работы:				34 650,00 ₽
Материалы:				
Клиновидный утеплитель ТехноНИКОЛЬ XPS Carbon PROF SLOPE 4,2 % (Элемент J) 	м3	2,62	11 500,00 ₽	30 180,60 ₽
Клиновидный утеплитель ТехноНИКОЛЬ XPS Carbon PROF SLOPE 4,2 % (Элемент K) 	м3	2,74	11 500,00 ₽	31 464,00 ₽
Клиновидный утеплитель ТехноНИКОЛЬ XPS Carbon PROF SLOPE 4,2 % (Доборная плита) 	м3	0,27	9 300,00 ₽	2 545,97 ₽
Крепеж кровельный телескопический 100 мм 	шт	100,00	8,00 ₽	800,00 ₽
Крепеж кровельный телескопический 80 мм 	шт	250,00	7,50 ₽	1 875,00 ₽
Крепеж кровельный телескопический 60 мм 	шт	450,00	7,00 ₽	3 150,00 ₽
Кровельный саморез остроконечный 120 мм	шт	350,00	17,50 ₽	6 125,00 ₽
Кровельный саморез остроконечный 160 мм	шт	250,00	21,00 ₽	5 250,00 ₽
Анкерный элемент 8*45 мм	шт	500,00	3,50 ₽	1 750,00 ₽
Итого за материалы:				83 140,57 ₽
ИТОГО по Разделу:				117 790,57 ₽
Устройство утеплителя из ПИР в один слой, толщиной 80 мм				
Работы:				
Устройство утеплителя в 1 слой с перехлестом швов, толщиной 80 мм	м2	1 534,43	300,00 ₽	460 329,00 ₽
Механическое крепление теплоизоляционного слоя	м2	1 534,00	50,00 ₽	76 700,00 ₽
Итого за работы:				537 029,00 ₽
Материалы:				
Теплоизоляционный материал ТехноНИКОЛЬ LOGICPIR Ф/Ф 80 мм	м2	1 580,46	2 000,00 ₽	3 160 925,80 ₽
Крепеж кровельный телескопический 60 мм + саморез остроконечный 100 мм + анкер 8*45 мм	шт	4 741,00	18,50 ₽	87 708,50 ₽
Итого за материалы:				3 248 634,30 ₽
ИТОГО по Разделу:				3 785 663,30 ₽
Устройство гидроизоляционного покрытия из ПВХ-мембраны по плоскости				
Работы:				
Монтаж гидроизоляционного покрытия из ПВХ мембраны шириной 1 м, с продольным нахлестом не менее 120мм и поперечным 200мм (с механическим креплением)	м2	744,43	430,00 ₽	320 104,90 ₽
Монтаж гидроизоляционного покрытия из ПВХ мембраны шириной 0.5 м, с продольным нахлестом не менее 120мм и поперечным 200мм (с механическим креплением)	м2	790,00	600,00 ₽	474 000,00 ₽
Итого за работы:				794 104,90 ₽
Материалы:				
				
ПВХ-мембрана ТехноНИКОЛЬ LogicROOF V-RP 1,5 мм	м2	2 078,32	1 167,00 ₽	2 425 394,77 ₽
Крепеж кровельный телескопический 60 мм + саморез остроконечный 100 мм + анкер 8*45 мм	шт	7 670,00	18,50 ₽	141 895,00 ₽
Очиститель для ПВХ-мембран 	шт	2,00	7 950,00 ₽	15 900,00 ₽
Итого за материалы:				2 583 189,77 ₽
ИТОГО по Разделу:				3 377 294,67 ₽
Устройство гидроизоляции примыканий к парапету, вертикальным стенам и тумбам из ПВХ-мембраны				
Работы:				
Монтаж гидроизоляционного покрытия на парапеты (и вертикальные стены) из ПВХ-мембраны с окончанием под рейку (с промежуточным креплением)	м/п	232,90	950,00 ₽	221 255,00 ₽
Итого за работы:				221 255,00 ₽
Материалы:				
ПВХ-мембрана ТехноНИКОЛЬ LogicROOF V-RP 1,5 мм	м2	285,14	1 167,00 ₽	332 761,30 ₽
Неармированная ПВХ-мембрана ТехноНИКОЛЬ LOGICROOF V-SR 1,5 мм	м2	8,00	1 100,00 ₽	8 800,00 ₽
Итого за материалы:				341 561,30 ₽
ИТОГО по Разделу:				562 816,30 ₽
Устройство прижимной и краевой алюминиевой планки				
Работы:				
Монтаж прижимной и краевой кровельной планки	м/п	375,00	150,00 ₽	56 250,00 ₽
Итого за работы:				56 250,00 ₽
Материалы:				
Рейка прижимная ТехноНИКОЛЬ	м/п	375,00	107,00 ₽	40 125,00 ₽
Рейка краевая ТехноНИКОЛЬ	м/п	74,80	112,00 ₽	8 377,60 ₽
Герметик полиуретановый ТехноНИКОЛЬ, 600мм	шт	19,00	520,00 ₽	9 880,00 ₽
Дюбель-гвоздь 6*40 мм	шт	2 250,00	2,00 ₽	4 500,00 ₽
Итого за материалы:				62 882,60 ₽
ИТОГО по Разделу:				119 132,60 ₽
Устройство гидроизоляции стоек фахверка				
Работы:				
Устройство гидроизоляции стоек фахверка	шт	26,00	4 000,00 ₽	104 000,00 ₽
Итого за работы:				104 000,00 ₽
Материалы:				
ПВХ-мембрана ТехноНИКОЛЬ LogicROOF V-RP 1,5 мм	м2	72,86	1 167,00 ₽	85 032,29 ₽
Неармированная ПВХ-мембрана ТехноНИКОЛЬ LOGICROOF V-SR 1,5 мм	м2	10,00	1 100,00 ₽	11 000,00 ₽
Рейка прижимная ТехноНИКОЛЬ	м/п	64,40	107,00 ₽	6 890,80 ₽
Дюбель-гвоздь 6*40 мм	шт	322,00	2,00 ₽	644,00 ₽
Итого за материалы:				103 567,09 ₽
ИТОГО по Разделу:				207 567,09 ₽
Устройство примыкания к проходкам				
Работы:				
Устройство примыкания к проходкам	шт	0,00	2 000,00 ₽	0,00 ₽
Итого за работы:				0,00 ₽
Материалы:				
Неармированная ПВХ-мембрана ТехноНИКОЛЬ LOGICROOF V-SR 1,5 мм	м2	0,00	1 100,00 ₽	0,00 ₽
Хомут	шт	0,00	400,00 ₽	0,00 ₽
Герметик полиуретановый ТехноНИКОЛЬ, 600мм	шт	0,00	520,00 ₽	0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				0,00 ₽
Устройство водоприемных воронок				
Работы:				
Монтаж элементов усиления из оц. стали толщиной 0,5 мм	шт	9,00	800,00 ₽	7 200,00 ₽
Монтаж воронок внутреннего водоотведения	шт	9,00	2 000,00 ₽	18 000,00 ₽
Алмазное бурение	шт	9,00	2 000,00 ₽	18 000,00 ₽
Монтаж парапетных воронок	шт	4,00	2 000,00 ₽	8 000,00 ₽
Итого за работы:				51 200,00 ₽
Материалы:				
Изделие из оц. стали 600*600 мм, толщиной 0,5 мм	шт	9,00	1 400,00 ₽	12 600,00 ₽
Воронка водосточная ТехноНИКОЛЬ 110*720 с обогревом	шт	9,00	6 850,00 ₽	61 650,00 ₽
Парапетная воронка 100*100 мм с листоуловителем	шт	4,00	7 000,00 ₽	28 000,00 ₽
Герметик полиуретановый ТехноНИКОЛЬ, 600мм	шт	2,00	520,00 ₽	1 040,00 ₽
Итого за материалы:				103 290,00 ₽
ИТОГО по Разделу:				154 490,00 ₽
ИТОГО по Разделам материалы для устройства кровли из ПВХ-мембраны:				6 735 653,93 ₽
ИТОГО по Разделам монтажные работы кровля из ПВХ-мембраны:				3 311 100,44 ₽
Накладные, транспортные, организационные и утилизационные расходы:				
Организационные и транспортные расходы:	ед	1,00	760 000,00 ₽	760 000,00 ₽
Подъемы и механизмы:	ед	1,00	510 000,00 ₽	510 000,00 ₽
Вывоз мусора	м3	388,75	650,00 ₽	252 687,50 ₽
ИТОГО по Разделам накладные, транспортные, организационные и утилизационные расходы:				1 522 687,50 ₽
Итого общая сумма по всем разделам:				11 569 441,87 ₽



"Данные крыши: Суммарная площадь кровель = 603 м2 (252 м2 + 320 м2 + 31 м2),
Примыкания к парапету и вертикальным конструкциям = 108.7 пог.м. (73 м/п + 74 м/п + 40 м/п, Примыкания к вент. шахте (8 шт.) = 14 пог.м.,
Водоотведение парапетное = 7 шт.,
Водоотведение внутреннее = 2 шт."				
				
Наименование работ. Кровля из ПВХ-мембраны	Ед.изм.	Кол-во	Цена за ед	Сумма
Подготовительные работы				
Работы:				
Подготовка поверхности (зачистка поверхности, удаление наплывов, обеспыливание )	м2	603,00	50,00 ₽	30 150,00 ₽
Итого за работы:				30 150,00 ₽
ИТОГО по Разделу:				30 150,00 ₽
Устройство наплавляемой пароизоляции				
Работы:				
Нанесение праймера в 1 слой. Плоскость и парапет	м2	572,00	80,00 ₽	45 760,00 ₽
Монтаж пароизоляции в 1 слой	м2	572,00	180,00 ₽	102 960,00 ₽
Итого за работы:				148 720,00 ₽
Материалы:				
Праймер ТехноНиколь 01	кг		195,60 ₽	0,00 ₽
Линокром нижний слой	м2		184,50 ₽	0,00 ₽
Газ пропан	л	270,00	32,00 ₽	8 640,00 ₽
Итого за материалы:				8 640,00 ₽
ИТОГО по Разделу:				157 360,00 ₽
Устройство утеплителя 100 мм				
Работы:				
Устройство утеплителя в 2 слоя с пропениванием швов, перехлестом, толщиной 100мм.	м2	127,00	230,00 ₽	29 210,00 ₽
Итого за работы:				29 210,00 ₽
Материалы:				
Экструзионный пенополистирол XPS Carbon Prof 50 мм	мЗ	13,09	10 000,00 ₽	130 900,00 ₽
Клей пена ТН	шт	10,00	520,00 ₽	5 200,00 ₽
Итого за материалы:				136 100,00 ₽
ИТОГО по Разделу:				165 310,00 ₽
Устройство полусухой стяжки с разуклонкой				
Работы:				
Устройство армированной стяжки (армирование фиброй), уклон 1% + контруклон	м2	127,00	1 200,00 ₽	152 400,00 ₽
Итого за работы:				152 400,00 ₽
Материалы:				
Песок, цемент М-500, фибра, пленка	кг	14229,60	7,00 ₽	99 607,20 ₽
Итого за материалы:				99 607,20 ₽
ИТОГО по Разделу:				252 007,20 ₽
Устройство геотекстиля.				
Работы:				
Устройство геотекстиля с продольным нахлестом 100мм и поперечным 200мм. Плоскость и парапет	м2	127,00	50,00 ₽	6 350,00 ₽
Итого за работы:				6 350,00 ₽
Материалы:				
Геотекстиль нетканый термообработанный 150 г/м2	м2	198,95	100,00 ₽	19 895,00 ₽
Итого за материалы:				19 895,00 ₽
ИТОГО по Разделу:				26 245,00 ₽
Устройство гидроизоляционного покрытия из ПВХ мембраны по плоскости.				
Работы:				
Монтаж гидроизоляционного покрытия из ПВХ мембраны с продольным нахлестом 120мм и поперечным 200мм.	м2	127,00	600,00 ₽	76 200,00 ₽
Итого за работы:				76 200,00 ₽
Материалы:				
Армированная ПВХ мембрана Ecoplast V-RP толщиной 1,5 мм	м2	146,05	1 280,00 ₽	186 944,00 ₽
Кровельная стальная шайба ТехноНИКОЛЬ D-50мм.	шт	635,00	6,00 ₽	3 810,00 ₽
Кровельный саморез 4.8*50 мм + анкер 8*45 мм 	шт	635,00	8,00 ₽	5 080,00 ₽
Итого за материалы:				195 834,00 ₽
ИТОГО по Разделу:				272 034,00 ₽
Устройство гидроизоляции парапета высотой до 400 мм из ПВХ мембраны.				
Работы:				
Монтаж гидроизоляционного покрытия на парапеты (и вент. шахты) до 450 мм из ПВХ мембраны с окончанием под прижимную и краевую рейку.	м/п	61,51	650,00 ₽	39 981,50 ₽
Итого за работы:				39 981,50 ₽
Материалы:				
Армированная ПВХ мембрана Ecoplast V-RP толщиной 1,5 мм	м2	70,74	1 280,00 ₽	90 547,20 ₽
Неармированная ПВХ мембрана V-SR толщиной 1,5 мм	м2	2,00	1 500,00 ₽	3 000,00 ₽
Итого за материалы:				93 547,20 ₽
ИТОГО по Разделу:				133 528,70 ₽
Устройство прижимной алюминиевой планки				
Работы:				
Монтаж прижимной и краевой кровельной планки	м/п	123,00	150,00 ₽	18 450,00 ₽
Итого за работы:				18 450,00 ₽
Материалы:				
Прижимная кровельная планка алюминиевая 30*3000мм	м/п	96,00	140,00 ₽	13 440,00 ₽
Краевая кровельная планка алюминиевая 30*3000мм	м/п	26,00	140,00 ₽	3 640,00 ₽
ПУ герметик	шт	7,00	800,00 ₽	5 600,00 ₽
Дюбель-гвоздь грибовидный 6*60мм.	шт	615,00	3,20 ₽	1 968,00 ₽
Итого за материалы:				24 648,00 ₽
ИТОГО по Разделу:				43 098,00 ₽
Устройство водоприемных воронок.				
Работы:				
Монтаж парапетных воронок	шт	1,00	3 500,00 ₽	3 500,00 ₽
Итого за работы:				3 500,00 ₽
Материалы:				
Воронка парапетная ПВХ 100*100 мм, с отводом, листвоуловителем	шт	1,00	7 000,00 ₽	7 000,00 ₽
Итого за материалы:				7 000,00 ₽
ИТОГО по Разделу:				10 500,00 ₽
ИТОГО по Разделам монтажные работы кровля из ПВХ-мембраны				504 961,50 ₽
ИТОГО по Разделам материалы кровля из ПВХ-мембраны				585 271,40 ₽
Общая сумма по разделам:				1 090 232,90 ₽
Организационные расходы:				36 000,00 ₽
Утилизация строительного мусора (складируем на территории Заказчика):				5 000,00 ₽
Итого общая сумма по всем разделам:				1 131 232,90 ₽



"Данные крыши: Суммарная площадь кровель = 16 710 м2,
Суммарная площадь контруклонов = 3 383 м2,
Примыкания к парапету = 527 пог.м, 
Водоотведение внутреннее = 60 шт.,
Устройство деф.шва = 115 пог.м,
Примыкания к фахверковым стойкам = 93 шт.,
Устройство примыкания к Воздухозаборам = 4 шт., 
Устройство примыкания к пром. вентиляторам = 10 шт.,
Устройство примыкания к вытяжкам (В, ВД, ПД) = 167 шт.,
Устройство пешеходных дорожек Puzzle = 3983 шт.,
Устройство примыканий стойкам блоков кондиционеров = 74 шт.,
Устройство примыканий к гусакам для ввода кабеля = 196 шт.  "				
				
Наименование работ	Ед.изм.	Кол-во	Цена за ед. с НДС-20%	Сумма с НДС-20%
Монтаж профилированного листа				
Работы:				
Монтаж профилированного листа Н-75	м2	16 710,00	250,00 ₽	4 177 500,00 ₽
Итого за работы:				4 177 500,00 ₽
Устройство L-образного профиля в местах парапета и профилей усиления в ендове и на коньках 				
Работы:				
Устройство L-образного профиля и профилей усиления (коньковые усиления, усиления ендов, усиления деф. шва) 	м/п	1 378,00	220,00 ₽	303 160,00 ₽
Итого за работы:				303 160,00 ₽
Устройство усиления мест воронок внутреннего водоотведения				
Работы:				
Устройство усиления мест воронок внутреннего водоотведения из оц. стали толщиной 0,5 мм	м2	21,60	800,00 ₽	17 280,00 ₽
Итого за работы:				17 280,00 ₽
Устройство заполнения гофр профлиста НГ утеплителем на длину 250 мм				
Работы:				
Устройство заполнения гофр профлиста НГ утеплителем на длину 250 мм	м/п	1 550,25	180,00 ₽	279 045,00 ₽
Итого за работы:				279 045,00 ₽
ИТОГО по Разделу:				4 776 985,00 ₽
Устройство пароизоляционного слоя из Паробарьера				
Работы:				
Устройство пароизоляционного слоя из пленки	м2	16 710,00	110,00 ₽	1 838 100,00 ₽
Итого за работы:				1 838 100,00 ₽
ИТОГО по Разделу:				1 838 100,00 ₽
Устройство контруклона из теплоизоляционных плит LogicPIR Slope 3,4%				
Работы:				
Устройство контруклона из теплоизоляционных плит LogicPIR Slope 3,4%	м2	3 383,00	350,00 ₽	1 184 050,00 ₽
Итого за работы:				1 184 050,00 ₽
ИТОГО по Разделу:				1 184 050,00 ₽
Устройство комбинированного теплоизоляционного слоя (Мин. Вата + ПИР) в два слоя с перехлестом швов, общей толщиной 100 мм				
Работы:				
Устройство комбинированного теплоизоляционного слоя (Мин. Вата + ПИР) в два слоя с перехлестом швов, общей толщиной 100 мм	м2	16 710,00	280,00 ₽	4 678 800,00 ₽
Механическое крепление теплоизоляционного слоя	м2	16 710,00	50,00 ₽	835 500,00 ₽
Итого за работы:				5 514 300,00 ₽
ИТОГО по Разделу:				5 514 300,00 ₽
Устройство гидроизоляционного покрытия из ПВХ-мембраны по плоскости с учетом ветровых зон				
Работы:				
Монтаж гидроизоляционного покрытия из ПВХ мембраны шириной 2 м (центральная зона), с продольным нахлестом не менее 120 мм и поперечным не менее 200 мм 	м2	10 386,00	320,00 ₽	3 323 520,00 ₽
Монтаж гидроизоляционного покрытия из ПВХ мембраны шириной 0.5-1 м (парапетная зона), с продольным нахлестом не менее 120 мм и поперечным не менее 200 мм. Общая ширина ветровой зоны - 12 м 	м2	6 324,00	420,00 ₽	2 656 080,00 ₽
Механическое крепление гидроизоляционного слоя (крепление с учетом ветровых зон)	м2	16 710,00	50,00 ₽	835 500,00 ₽
Итого за работы:				6 815 100,00 ₽
ИТОГО по Разделу:				6 815 100,00 ₽
Устройство гидроизоляции примыканий к парапету из ПВХ-мембраны с высотой заведения более 450 мм (с промежуточным креплением)				
Работы:				
Устройство примыкания гидроизоляционного покрытия из ПВХ-мембраны к парапету, с заведением ПВХ-мембраны за парапет, с высотой заведения более 500 мм (с доутеплением)	м/п	527,00	1 200,00 ₽	632 400,00 ₽
Итого за работы:				632 400,00 ₽
Устройство прижимной и краевой алюминиевой планки				
Работы:				
Монтаж прижимной и краевой кровельной планки	м/п	1 054,00	100,00 ₽	105 400,00 ₽
Итого за работы:				105 400,00 ₽
ИТОГО по Разделу:				737 800,00 ₽
Устройство гидроизоляции стоек фахверка с утеплением				
Работы:				
Устройство примыканий к стойкам фахверка с утеплением	шт	93,00	4 000,00 ₽	372 000,00 ₽
Итого за работы:				372 000,00 ₽
ИТОГО по Разделу:				372 000,00 ₽
Устройство примыкания к вытяжкам (В, ВД, ПД)				
Работы:				
Устройство примыкания к вытяжкам (В, ВД, ПД)	шт	167,00	3 000,00 ₽	501 000,00 ₽
Итого за работы:				501 000,00 ₽
ИТОГО по Разделу:				501 000,00 ₽
Устройство примыканий к воздухозаборам 				
Работы:				
Устройство примыканий к воздухозаборам 	шт	4,00	8 000,00 ₽	32 000,00 ₽
Итого за работы:				32 000,00 ₽
ИТОГО по Разделу:				32 000,00 ₽
Устройство примыканий к вентиляторам				
Работы:				
Устройство примыканий к вентиляторам	шт	10,00	6 000,00 ₽	60 000,00 ₽
Итого за работы:				60 000,00 ₽
ИТОГО по Разделу:				60 000,00 ₽
Устройство деф. Шва				
Работы:				
Устройство деф. Шва	шт	115,00	500,00 ₽	57 500,00 ₽
Итого за работы:				57 500,00 ₽
ИТОГО по Разделу:				57 500,00 ₽
Устройство пешеходных дорожек Puzzle 				
Работы:				
Устройство пешеходных дорожек Puzzle 	шт	3 983,00	400,00 ₽	1 593 200,00 ₽
Итого за работы:				1 593 200,00 ₽
ИТОГО по Разделу:				1 593 200,00 ₽
Устройство примыканий стойкам блоков кондиционеров				
Работы:				
Устройство примыканий стойкам блоков кондиционеров	шт	74,00	1 800,00 ₽	133 200,00 ₽
Итого за работы:				133 200,00 ₽
ИТОГО по Разделу:				133 200,00 ₽
Устройство примыканий к гусакам для ввода кабеля				
Работы:				
Устройство примыканий к гусакам для ввода кабеля	шт	196,00	1 500,00 ₽	294 000,00 ₽
Итого за работы:				294 000,00 ₽
ИТОГО по Разделу:				294 000,00 ₽
Устройство водоприемных воронок				
Работы:				
Монтаж воронок внутреннего водоотведения	шт	60,00	2 500,00 ₽	150 000,00 ₽
Итого за работы:				150 000,00 ₽
ИТОГО по Разделу:				150 000,00 ₽
ИТОГО по Разделам монтажные работы кровля из ПВХ-мембраны:				24 059 235,00 ₽
Накладные, транспортные, организационные и утилизационные расходы:				
Организационные и транспортные расходы:	ед	1,00	100 000,00 ₽	100 000,00 ₽
Подъемы и механизмы:	ед	48,00	21 600,00 ₽	1 036 800,00 ₽
Утилизация и вывоз мусора	ед	23,00	16 000,00 ₽	368 000,00 ₽
ИТОГО по Разделам накладные, транспортные, организационные и утилизационные расходы:				1 504 800,00 ₽
Итого общая сумма по всем разделам:				25 564 035,00 ₽



"Данные крыши:
Суммарная площадь кровель = 526,5 м2,
Примыкания к парапету = 63 пог.м,
Примыкания к карнизному свесу = 27 пог.м.,
Тип водоотведения - наружный (желоб + прямые звенья) = 33.5 пог.м."				
				
Наименование работ	Ед.изм.	Кол-во	Цена за ед	Сумма
Монтаж профилированного листа				
Работы:				
Монтаж профилированного листа	м2	526,50	250,00 ₽	131 625,00 ₽
Итого за работы:				131 625,00 ₽
Материалы:				
Профилированный лист Н60-845-0,7 мм	м2	579,15	1 051,75 ₽	609 123,33 ₽
Саморез кровельный 5,5*38 мм	шт	1 580,00	3,20 ₽	5 056,00 ₽
Саморез кровельный 4,8*19 мм	шт	2 632,50	3,00 ₽	7 897,50 ₽
Итого за материалы:				622 076,83 ₽
ИТОГО по Разделу:				753 701,83 ₽
Устройство L-образного профиля в местах парапета и профилей усиления в ендове и на коньках. Заполнение гофр профлиста утеплителем НГ на длину 250 мм 				
Работы:				
Устройство L-образного профиля и профилей усиления	м/п	63,00	100,00 ₽	6 300,00 ₽
Заполнение гофр профлиста утеплителем НГ на длину 250 мм 	м/п	116,00	100,00 ₽	11 600,00 ₽
Итого за работы:				17 900,00 ₽
Материалы:				
Изделие (L-образный профиль, коньковый усилитель) из оц. стали толщиной 0,5 мм	м/п	63,00	420,00 ₽	26 460,00 ₽
Саморез кровельный 5,5*19 мм	шт	315,00	3,10 ₽	976,50 ₽
Итого за материалы:				27 436,50 ₽
ИТОГО по Разделу:				45 336,50 ₽
Устройство карнизного свеса (монтаж бруса и ПВХ-металла)				
Работы:				
Монтаж бруса 100*100 мм	м/п	27,00	400,00 ₽	10 800,00 ₽
Гибка изделия фасонного элемента из ПВХ-металла	м/п	27,00	500,00 ₽	13 500,00 ₽
Монтаж фасонного элемента из ПВХ-металла	м/п	27,00	200,00 ₽	5 400,00 ₽
Итого за работы:				29 700,00 ₽
Материалы:				
Брус 100*100 мм	м/п	27,00	670,00 ₽	18 090,00 ₽
ПВХ-металл	м2	4,00		0,00 ₽
Саморез 4,8*120 мм	шт	135,00		0,00 ₽
Саморез 4,8*50 мм	шт	135,00		0,00 ₽
Итого за материалы:				18 090,00 ₽
ИТОГО по Разделу:				47 790,00 ₽
Устройство пароизоляции				
Работы:				
Устройство пароизоляции из пленки	м2	526,50	60,00 ₽	31 590,00 ₽
Итого за работы:				31 590,00 ₽
Материалы:				
Пленка пароизоляционная ТехноНИКОЛЬ	м2	584,42		0,00 ₽
Скотч двусторонний, 25м	шт	10,00		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				31 590,00 ₽
Устройство минераловатного утеплителя в два слоя, общей толщиной 120 мм				
Работы:				
Устройство минераловатного утеплителя в два слоя, общей толщиной 120 мм	м2	526,50	400,00 ₽	210 600,00 ₽
Механическое крепление теплоизоляционного слоя	м2	526,50	50,00 ₽	26 325,00 ₽
Итого за работы:				236 925,00 ₽
Материалы:				
Минераловатный утеплитель ТехноНИКОЛЬ ТехноРУФ Н30, толщиной 80 мм	м3	43,38		0,00 ₽
Минераловатный утеплитель ТехноНИКОЛЬ ТехноРУФ В60, толщиной 40 мм	м3	21,69		0,00 ₽
Крепеж кровельный телескопический 100 мм + саморез сверлоконечный 70 мм	шт	1 580,00		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				236 925,00 ₽
Устройство гидроизоляционного покрытия из ПВХ-мембраны по плоскости				
Работы:				
Монтаж гидроизоляционного покрытия из ПВХ мембраны, с шириной рулона 2 м, с продольным нахлестом не менее 120мм и поперечным 200мм	м2	310,61	400,00 ₽	124 244,00 ₽
Монтаж гидроизоляционного покрытия из ПВХ мембраны, с шириной рулона 0.5-1 м, с продольным нахлестом не менее 120мм и поперечным 200мм	м2	215,89	500,00 ₽	107 945,00 ₽
Механическое крепление гидроизоляционного слоя с учетом ветровых зон	м2	526,50	50,00 ₽	26 325,00 ₽
Итого за работы:				258 514,00 ₽
Материалы:				
				
